alpha,group,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,tpr_mean,fpr_mean
0.05,atomic,0.487,0.019,0.573,0.015,0.200,0.053
0.05,composite,0.421,0.007,0.527,0.002,0.067,0.013
0.10,atomic,0.492,0.013,0.578,0.011,0.208,0.053
0.10,composite,0.426,0.007,0.531,0.005,0.075,0.013
0.15,atomic,0.533,0.015,0.608,0.015,0.283,0.067
0.15,composite,0.446,0.013,0.547,0.007,0.108,0.013
0.20,atomic,0.615,0.038,0.667,0.030,0.442,0.107
0.20,composite,0.508,0.022,0.590,0.021,0.233,0.053
0.25,atomic,0.610,0.044,0.661,0.035,0.442,0.120
0.25,composite,0.508,0.022,0.590,0.021,0.233,0.053
0.30,atomic,0.631,0.063,0.647,0.040,0.575,0.280
0.30,composite,0.467,0.044,0.552,0.043,0.183,0.080
0.35,atomic,0.703,0.032,0.683,0.015,0.767,0.400
0.35,composite,0.487,0.071,0.551,0.053,0.275,0.173
0.40,atomic,0.708,0.033,0.657,0.032,0.875,0.560
0.40,composite,0.533,0.059,0.578,0.041,0.383,0.227
0.50,atomic,0.708,0.045,0.640,0.048,0.933,0.653
0.50,composite,0.554,0.044,0.590,0.032,0.433,0.253
