model,seed,method,horizon_inferences,active_segments,active_parents,successes,failures,roc_auc,average_precision
indep,0,safe,1,134,50,105,29,0.40656814449917894,0.21985040779064938
indep,0,elapsed_time,1,134,50,105,29,0.741543513957307,0.4309748051654897
indep,0,safe,2,127,50,99,28,0.3564213564213564,0.1888315051880725
indep,0,elapsed_time,2,127,50,99,28,0.7225829725829727,0.4233578068399825
indep,0,safe,4,120,50,92,28,0.34316770186335405,0.19302568041415985
indep,0,elapsed_time,4,120,50,92,28,0.704192546583851,0.4238171244252843
indep,0,safe,8,102,50,75,27,0.33185185185185184,0.20645124694488923
indep,0,elapsed_time,8,102,50,75,27,0.6851851851851851,0.43971900454393265
indep,0,safe,16,68,44,46,22,0.37549407114624506,0.298005449297637
indep,0,elapsed_time,16,68,44,46,22,0.6684782608695652,0.4790004216218672
indep,0,safe,32,25,20,14,11,0.43506493506493504,0.5298503670242801
indep,0,elapsed_time,32,25,20,14,11,0.6136363636363636,0.5328342245989304
indep,0,safe,64,0,0,0,0,,
indep,0,elapsed_time,64,0,0,0,0,,
indep,0,safe,128,0,0,0,0,,
indep,0,elapsed_time,128,0,0,0,0,,
indep,1,safe,1,134,50,105,29,0.4101806239737274,0.21851134113867166
indep,1,elapsed_time,1,134,50,105,29,0.741543513957307,0.4309748051654897
indep,1,safe,2,127,50,99,28,0.3517316017316017,0.2090746059995982
indep,1,elapsed_time,2,127,50,99,28,0.7225829725829727,0.4233578068399825
indep,1,safe,4,120,50,92,28,0.3307453416149068,0.1848263287887891
indep,1,elapsed_time,4,120,50,92,28,0.704192546583851,0.4238171244252843
indep,1,safe,8,102,50,75,27,0.3180246913580247,0.2012865108007603
indep,1,elapsed_time,8,102,50,75,27,0.6851851851851851,0.43971900454393265
indep,1,safe,16,68,44,46,22,0.3547430830039526,0.2923235589516334
indep,1,elapsed_time,16,68,44,46,22,0.6684782608695652,0.4790004216218672
indep,1,safe,32,25,20,14,11,0.4415584415584416,0.5108532695374801
indep,1,elapsed_time,32,25,20,14,11,0.6136363636363636,0.5328342245989304
indep,1,safe,64,0,0,0,0,,
indep,1,elapsed_time,64,0,0,0,0,,
indep,1,safe,128,0,0,0,0,,
indep,1,elapsed_time,128,0,0,0,0,,
indep,2,safe,1,134,50,105,29,0.3504105090311987,0.2062107480786221
indep,2,elapsed_time,1,134,50,105,29,0.741543513957307,0.4309748051654897
indep,2,safe,2,127,50,99,28,0.3322510822510822,0.18686107435529997
indep,2,elapsed_time,2,127,50,99,28,0.7225829725829727,0.4233578068399825
indep,2,safe,4,120,50,92,28,0.3169642857142857,0.18130154268120757
indep,2,elapsed_time,4,120,50,92,28,0.704192546583851,0.4238171244252843
indep,2,safe,8,102,50,75,27,0.31753086419753085,0.1995929587934699
indep,2,elapsed_time,8,102,50,75,27,0.6851851851851851,0.43971900454393265
indep,2,safe,16,68,44,46,22,0.391304347826087,0.28069525050308775
indep,2,elapsed_time,16,68,44,46,22,0.6684782608695652,0.4790004216218672
indep,2,safe,32,25,20,14,11,0.40259740259740256,0.4403395297512945
indep,2,elapsed_time,32,25,20,14,11,0.6136363636363636,0.5328342245989304
indep,2,safe,64,0,0,0,0,,
indep,2,elapsed_time,64,0,0,0,0,,
indep,2,safe,128,0,0,0,0,,
indep,2,elapsed_time,128,0,0,0,0,,
lstm,0,safe,1,134,50,105,29,0.3297208538587848,0.16421854880302836
lstm,0,elapsed_time,1,134,50,105,29,0.741543513957307,0.4309748051654897
lstm,0,safe,2,127,50,99,28,0.3513708513708514,0.17221368401053522
lstm,0,elapsed_time,2,127,50,99,28,0.7225829725829727,0.4233578068399825
lstm,0,safe,4,120,50,92,28,0.37150621118012417,0.19135423192210743
lstm,0,elapsed_time,4,120,50,92,28,0.704192546583851,0.4238171244252843
lstm,0,safe,8,102,50,75,27,0.3846913580246913,0.2254303970639287
lstm,0,elapsed_time,8,102,50,75,27,0.6851851851851851,0.43971900454393265
lstm,0,safe,16,68,44,46,22,0.4654150197628458,0.3403693605410838
lstm,0,elapsed_time,16,68,44,46,22,0.6684782608695652,0.4790004216218672
lstm,0,safe,32,25,20,14,11,0.48051948051948046,0.45890167912895186
lstm,0,elapsed_time,32,25,20,14,11,0.6136363636363636,0.5328342245989304
lstm,0,safe,64,0,0,0,0,,
lstm,0,elapsed_time,64,0,0,0,0,,
lstm,0,safe,128,0,0,0,0,,
lstm,0,elapsed_time,128,0,0,0,0,,
lstm,1,safe,1,134,50,105,29,0.3471264367816092,0.16823861912556515
lstm,1,elapsed_time,1,134,50,105,29,0.741543513957307,0.4309748051654897
lstm,1,safe,2,127,50,99,28,0.36688311688311687,0.17653659573627895
lstm,1,elapsed_time,2,127,50,99,28,0.7225829725829727,0.4233578068399825
lstm,1,safe,4,120,50,92,28,0.3847049689440994,0.19559980252568954
lstm,1,elapsed_time,4,120,50,92,28,0.704192546583851,0.4238171244252843
lstm,1,safe,8,102,50,75,27,0.3940740740740741,0.22763364590145993
lstm,1,elapsed_time,8,102,50,75,27,0.6851851851851851,0.43971900454393265
lstm,1,safe,16,68,44,46,22,0.4308300395256917,0.32682502471829544
lstm,1,elapsed_time,16,68,44,46,22,0.6684782608695652,0.4790004216218672
lstm,1,safe,32,25,20,14,11,0.43506493506493504,0.43209982601130925
lstm,1,elapsed_time,32,25,20,14,11,0.6136363636363636,0.5328342245989304
lstm,1,safe,64,0,0,0,0,,
lstm,1,elapsed_time,64,0,0,0,0,,
lstm,1,safe,128,0,0,0,0,,
lstm,1,elapsed_time,128,0,0,0,0,,
lstm,2,safe,1,134,50,105,29,0.3444991789819376,0.16625919976176362
lstm,2,elapsed_time,1,134,50,105,29,0.741543513957307,0.4309748051654897
lstm,2,safe,2,127,50,99,28,0.3708513708513708,0.17594076423217475
lstm,2,elapsed_time,2,127,50,99,28,0.7225829725829727,0.4233578068399825
lstm,2,safe,4,120,50,92,28,0.3823757763975155,0.19195919874003076
lstm,2,elapsed_time,4,120,50,92,28,0.704192546583851,0.4238171244252843
lstm,2,safe,8,102,50,75,27,0.41283950617283954,0.23301140005460158
lstm,2,elapsed_time,8,102,50,75,27,0.6851851851851851,0.43971900454393265
lstm,2,safe,16,68,44,46,22,0.49308300395256915,0.3669505465012747
lstm,2,elapsed_time,16,68,44,46,22,0.6684782608695652,0.4790004216218672
lstm,2,safe,32,25,20,14,11,0.5194805194805194,0.48131970970206267
lstm,2,elapsed_time,32,25,20,14,11,0.6136363636363636,0.5328342245989304
lstm,2,safe,64,0,0,0,0,,
lstm,2,elapsed_time,64,0,0,0,0,,
lstm,2,safe,128,0,0,0,0,,
lstm,2,elapsed_time,128,0,0,0,0,,
