method,seed,alpha,num_rollouts,num_successes,num_failures,roc_auc,auprc,true_positive_rate,false_positive_rate,true_negative_rate,balanced_accuracy,normalized_detection_time,mean_lead_environment_steps,median_lead_environment_steps,mean_normalized_lead_time,confusion_tp,confusion_fp,confusion_tn,confusion_fn
safe,0,0.05,89,67,22,0.5814111261872456,0.2821285339580006,0.045454545454545456,0.05970149253731343,0.9402985074626866,0.492876526458616,0.0,1516.0,1516.0,1.0,1,4,63,21
elapsed_time,0,0.05,89,67,22,0.760854816824966,0.5015084869078875,0.4090909090909091,0.08955223880597014,0.9104477611940298,0.6597693351424695,0.0,1758.2222222222222,2100.0,0.9991744296326329,9,6,61,13
safe,0,0.1,89,67,22,0.5814111261872456,0.2821285339580006,0.09090909090909091,0.11940298507462686,0.8805970149253731,0.48575305291723203,0.0,1522.0,1522.0,0.9983692106979778,2,8,59,20
elapsed_time,0,0.1,89,67,22,0.760854816824966,0.5015084869078875,0.5,0.14925373134328357,0.8507462686567164,0.6753731343283582,0.0,1715.2727272727273,2100.0,0.9990280261899681,11,10,57,11
safe,0,0.15,89,67,22,0.5814111261872456,0.2821285339580006,0.18181818181818182,0.1791044776119403,0.8208955223880597,0.5013568521031208,0.0,1661.0,1664.0,0.9991846053489889,4,12,55,18
elapsed_time,0,0.15,89,67,22,0.760854816824966,0.5015084869078875,0.5,0.14925373134328357,0.8507462686567164,0.6753731343283582,0.0,1715.2727272727273,2100.0,0.9990280261899681,11,10,57,11
safe,0,0.2,89,67,22,0.5814111261872456,0.2821285339580006,0.18181818181818182,0.19402985074626866,0.8059701492537313,0.49389416553595655,0.0,1661.0,1664.0,0.9991846053489889,4,13,54,18
elapsed_time,0,0.2,89,67,22,0.760854816824966,0.5015084869078875,0.5909090909090909,0.23880597014925373,0.7611940298507462,0.6760515603799186,0.0,1645.8461538461538,1528.0,0.9988132840149102,13,16,51,9
safe,1,0.05,89,67,22,0.6132971506105835,0.30478468420025123,0.045454545454545456,0.05970149253731343,0.9402985074626866,0.492876526458616,0.0,1516.0,1516.0,1.0,1,4,63,21
elapsed_time,1,0.05,89,67,22,0.760854816824966,0.5015084869078875,0.4090909090909091,0.08955223880597014,0.9104477611940298,0.6597693351424695,0.0,1758.2222222222222,2100.0,0.9991744296326329,9,6,61,13
safe,1,0.1,89,67,22,0.6132971506105835,0.30478468420025123,0.09090909090909091,0.11940298507462686,0.8805970149253731,0.48575305291723203,0.0,1522.0,1522.0,0.9983692106979778,2,8,59,20
elapsed_time,1,0.1,89,67,22,0.760854816824966,0.5015084869078875,0.5,0.14925373134328357,0.8507462686567164,0.6753731343283582,0.0,1715.2727272727273,2100.0,0.9990280261899681,11,10,57,11
safe,1,0.15,89,67,22,0.6132971506105835,0.30478468420025123,0.18181818181818182,0.1791044776119403,0.8208955223880597,0.5013568521031208,0.0,1661.0,1664.0,0.9991846053489889,4,12,55,18
elapsed_time,1,0.15,89,67,22,0.760854816824966,0.5015084869078875,0.5,0.14925373134328357,0.8507462686567164,0.6753731343283582,0.0,1715.2727272727273,2100.0,0.9990280261899681,11,10,57,11
safe,1,0.2,89,67,22,0.6132971506105835,0.30478468420025123,0.18181818181818182,0.19402985074626866,0.8059701492537313,0.49389416553595655,0.0,1661.0,1664.0,0.9991846053489889,4,13,54,18
elapsed_time,1,0.2,89,67,22,0.760854816824966,0.5015084869078875,0.5909090909090909,0.23880597014925373,0.7611940298507462,0.6760515603799186,0.0,1645.8461538461538,1528.0,0.9988132840149102,13,16,51,9
safe,2,0.05,89,67,22,0.5183175033921302,0.2531009836108845,0.0,0.0,1.0,0.5,,,,,0,0,67,22
elapsed_time,2,0.05,89,67,22,0.760854816824966,0.5015084869078875,0.4090909090909091,0.08955223880597014,0.9104477611940298,0.6597693351424695,0.0,1758.2222222222222,2100.0,0.9991744296326329,9,6,61,13
safe,2,0.1,89,67,22,0.5183175033921302,0.2531009836108845,0.0,0.0,1.0,0.5,,,,,0,0,67,22
elapsed_time,2,0.1,89,67,22,0.760854816824966,0.5015084869078875,0.5,0.14925373134328357,0.8507462686567164,0.6753731343283582,0.0,1715.2727272727273,2100.0,0.9990280261899681,11,10,57,11
safe,2,0.15,89,67,22,0.5183175033921302,0.2531009836108845,0.0,0.0,1.0,0.5,,,,,0,0,67,22
elapsed_time,2,0.15,89,67,22,0.760854816824966,0.5015084869078875,0.5,0.14925373134328357,0.8507462686567164,0.6753731343283582,0.0,1715.2727272727273,2100.0,0.9990280261899681,11,10,57,11
safe,2,0.2,89,67,22,0.5183175033921302,0.2531009836108845,0.13636363636363635,0.22388059701492538,0.7761194029850746,0.4562415196743555,0.07142857142857142,1606.6666666666667,1528.0,0.9944683626875408,3,15,52,19
elapsed_time,2,0.2,89,67,22,0.760854816824966,0.5015084869078875,0.5909090909090909,0.23880597014925373,0.7611940298507462,0.6760515603799186,0.0,1645.8461538461538,1528.0,0.9988132840149102,13,16,51,9
