task,stage_order,stage,instruction,parent_rollouts,successes,failures,not_represented
LoadDishwasher,1,cup_grasped,Pick cup from counter,30,27,3,0
LoadDishwasher,2,cup_on_rack,Place cup on rack,30,21,7,2
LoadDishwasher,3,bowl_grasped,Pick bowl from counter,30,16,4,10
LoadDishwasher,4,bowl_on_rack,Place bowl on rack,30,14,2,14
LoadDishwasher,5,dishwasher_closed,Close dishwasher,30,10,5,15
PreSoakPan,1,PickPlaceCounterToSink_1_pick,Pick first object,30,29,1,0
PreSoakPan,2,PickPlaceCounterToSink_1_place,Place first object in sink,30,30,0,0
PreSoakPan,3,PickPlaceCounterToSink_2_pick,Pick second object,30,25,5,0
PreSoakPan,4,PickPlaceCounterToSink_2_place,Place second object in sink,30,20,0,10
PreSoakPan,5,PickPlaceCounterToSink_2_release,Release second object,30,25,0,5
PreSoakPan,6,TurnOnSinkFaucet_3,Turn on sink faucet,30,17,8,5
ScrubCuttingBoard,1,sponge_grasped,Pick sponge,30,30,0,0
ScrubCuttingBoard,2,cutting_board_scrubbed,Scrub cutting board,30,15,15,0
StackBowlsCabinet,1,larger_bowl_placed_in_cabinet,Place larger bowl in cabinet,30,13,17,0
StackBowlsCabinet,2,smaller_bowl_stacked_on_larger_bowl,Stack smaller bowl on larger bowl,30,2,2,26
StackBowlsCabinet,3,smaller_bowl_released_on_stack,Release smaller bowl on stack,30,9,2,19
WashLettuce,1,water_on,Turn water on,30,22,8,0
WashLettuce,2,lettuce_rinsed,Rinse lettuce,30,16,6,8
