model,seed,method,segments,successes,failures,roc_auc,average_precision,estimable_tasks,macro_task_roc_auc,macro_task_average_precision
indep,0,safe_raw,134,105,29,0.735632183908046,0.45998915883613756,11,0.6826190476190476,0.6606758056758056
indep,0,safe_task_z,134,105,29,0.5753694581280788,0.25942600400328986,11,0.6826190476190476,0.6606758056758056
indep,0,elapsed_time,134,105,29,0.741543513957307,0.4309748051654897,11,0.5,0.2938311688311688
indep,1,safe_raw,134,105,29,0.7344827586206896,0.4496310324457836,11,0.636038961038961,0.57503367003367
indep,1,safe_task_z,134,105,29,0.5814449917898195,0.2559381704664178,11,0.636038961038961,0.57503367003367
indep,1,elapsed_time,134,105,29,0.741543513957307,0.4309748051654897,11,0.5,0.2938311688311688
indep,2,safe_raw,134,105,29,0.7310344827586207,0.4296610987553258,11,0.6151803751803752,0.5595574795574796
indep,2,safe_task_z,134,105,29,0.5254515599343186,0.23773536381941984,11,0.6151803751803752,0.5595574795574796
indep,2,elapsed_time,134,105,29,0.741543513957307,0.4309748051654897,11,0.5,0.2938311688311688
lstm,0,safe_raw,134,105,29,0.5901477832512316,0.3258386306193495,11,0.5613347763347764,0.47589225589225587
lstm,0,safe_task_z,134,105,29,0.4443349753694581,0.2259567857484911,11,0.5613347763347764,0.47589225589225587
lstm,0,elapsed_time,134,105,29,0.741543513957307,0.4309748051654897,11,0.5,0.2938311688311688
lstm,1,safe_raw,134,105,29,0.5579638752052545,0.2918227146614507,11,0.5622077922077922,0.47367724867724875
lstm,1,safe_task_z,134,105,29,0.4174055829228243,0.21436049792035117,11,0.5622077922077922,0.47367724867724875
lstm,1,elapsed_time,134,105,29,0.741543513957307,0.4309748051654897,11,0.5,0.2938311688311688
lstm,2,safe_raw,134,105,29,0.6555008210180624,0.4180817129922349,11,0.6307972582972584,0.5208417508417509
lstm,2,safe_task_z,134,105,29,0.5284072249589491,0.2720578192490113,11,0.6307972582972584,0.5208417508417509
lstm,2,elapsed_time,134,105,29,0.741543513957307,0.4309748051654897,11,0.5,0.2938311688311688
