cohort,scope,detector,rollouts,successes,failures,roc_auc,auprc,tpr,fpr,balanced_accuracy,adjusted_detection_fraction
primary_balanced,Overall,SAFE only,760,380,380,0.9128116343,0.9064213150,0.5657894737,0.0394736842,0.7631578947,0.8100691033
primary_balanced,Overall,Staged SAFE + time,760,380,380,0.9544806094,0.9274723561,0.6684210526,0.0500000000,0.8092105263,0.8536195136
primary_balanced,Overall,Time only,760,380,380,0.9521814404,0.9320752394,0.6315789474,0.0473684211,0.7921052632,0.8795518520
primary_balanced,Atomic,SAFE only,200,100,100,,,0.8000000000,0.0800000000,0.8600000000,0.6418836568
primary_balanced,Atomic,Staged SAFE + time,200,100,100,,,0.5400000000,0.0400000000,0.7500000000,0.8320402036
primary_balanced,Atomic,Time only,200,100,100,,,0.4000000000,0.0200000000,0.6900000000,0.9422030866
primary_balanced,Composite,SAFE only,560,280,280,,,0.4821428571,0.0250000000,0.7285714286,0.8701353342
primary_balanced,Composite,Staged SAFE + time,560,280,280,,,0.7142857143,0.0535714286,0.8303571429,0.8613264101
primary_balanced,Composite,Time only,560,280,280,,,0.7142857143,0.0571428571,0.8285714286,0.8571764110
all_retained_secondary,Overall,SAFE only,1643,973,670,0.7757926708,0.6861450130,0.3268656716,0.0647482014,0.6310587351,0.8906561867
all_retained_secondary,Overall,Staged SAFE + time,1643,973,670,0.9723228667,0.9220588193,0.8119402985,0.0369989723,0.8874706631,0.8478421841
all_retained_secondary,Overall,Time only,1643,973,670,0.9869107699,0.9772260495,0.7910447761,0.0205549846,0.8852448958,0.8621622529
