scope,task,detector,selected_regularization,prefix_1_2_roc_auc,conditioned_minus_terminal,conditioned_minus_time,conditioned_std_across_seeds_prefixes
aggregate,__macro__,conditioned,0.001,0.696204,0.104260,0.196204,
aggregate,__macro__,stage,0.00001,0.631019,,,
aggregate,__macro__,multihorizon,0.001,0.625648,,,
aggregate,__macro__,terminal,0.00001,0.591944,,,
aggregate,__macro__,time_only,,0.500000,,,
aggregate,__macro__,prototype,,0.407500,,,
per_task,ArrangeBreadBasket,terminal,0.00001,0.5556,,,
per_task,ArrangeBreadBasket,stage,0.00001,0.7222,,,
per_task,ArrangeBreadBasket,multihorizon,0.001,0.5833,,,
per_task,ArrangeBreadBasket,conditioned,0.001,0.7778,0.2222,0.2778,0.2291
per_task,ArrangeBreadBasket,prototype,,0.5000,,,
per_task,ArrangeBreadBasket,time_only,,0.5000,,,
per_task,ArrangeTea,terminal,0.00001,0.7981,,,
per_task,ArrangeTea,stage,0.00001,0.7130,,,
per_task,ArrangeTea,multihorizon,0.001,0.7870,,,
per_task,ArrangeTea,conditioned,0.001,0.8815,0.0833,0.3815,0.0637
per_task,ArrangeTea,prototype,,0.2556,,,
per_task,ArrangeTea,time_only,,0.5000,,,
per_task,BreadSelection,terminal,0.00001,0.4005,,,
per_task,BreadSelection,stage,0.00001,0.3727,,,
per_task,BreadSelection,multihorizon,0.001,0.4375,,,
per_task,BreadSelection,conditioned,0.001,0.5347,0.1343,0.0347,0.0729
per_task,BreadSelection,prototype,,0.6597,,,
per_task,BreadSelection,time_only,,0.5000,,,
per_task,CuttingToolSelection,terminal,0.00001,0.3056,,,
per_task,CuttingToolSelection,stage,0.00001,0.4306,,,
per_task,CuttingToolSelection,multihorizon,0.001,0.3704,,,
per_task,CuttingToolSelection,conditioned,0.001,0.3704,0.0648,-0.1296,0.0674
per_task,CuttingToolSelection,prototype,,0.4722,,,
per_task,CuttingToolSelection,time_only,,0.5000,,,
per_task,GarnishPancake,terminal,0.00001,0.9000,,,
per_task,GarnishPancake,stage,0.00001,0.9167,,,
per_task,GarnishPancake,multihorizon,0.001,0.9500,,,
per_task,GarnishPancake,conditioned,0.001,0.9167,0.0167,0.4167,0.0687
per_task,GarnishPancake,prototype,,0.1500,,,
per_task,GarnishPancake,time_only,,0.5000,,,
